date,Metro,State,Net flow
2019/1/1,Buffalo,NY,113
2019/1/1,El Paso,TX,106
2019/1/1,Birmingham,AL,104
2019/1/1,Columbia,SC,74
2019/1/1,Albany,NY,44
2019/1/1,Little Rock,AR,36
2019/1/1,Clarksville,TN,33
2019/1/1,Tulsa,OK,20
2019/1/1,Baton Rouge,LA,19
2019/1/1,Columbus,OH,0
2019/1/1,Knoxville,TN,-4
2019/1/1,Louisville,KY,-22
2019/1/1,Lexington,KY,-46
2019/1/1,Omaha,NE,-64
2019/1/1,Syracuse,NY,-72
2019/1/1,McAllen,TX,-79
2019/1/1,Santa Maria,CA,-94
2019/1/1,Chico,CA,-97
2019/1/1,Dayton,OH,-103
2019/1/1,Indianapolis,IN,-114
2019/1/1,Spokane,WA,-121
2019/1/1,Richmond,VA,-204
2019/1/1,Des Moines,IA,-211
2019/1/1,Eugene,OR,-306
2019/1/1,Champaign,IL,-342
2019/1/1,Rockford,IL,-419
2019/1/1,Houston,TX,-439
2019/1/1,South Bend,IN,-457
2019/1/1,Detroit,MI,-474
2019/1/1,Milwaukee,WI,-796
2019/1/1,Hartford,CT,-1355
2019/1/1,Seattle,WA,-2039
2019/1/1,Denver,CO,-3838
2019/1/1,Chicago,IL,-4428
2019/1/1,Washington,DC,-8543
2019/1/1,Los Angeles,CA,-12934
2019/1/1,San Jose,CA,-26366
2019/1/1,New York,NY,-26938
2019/4/1,Phoenix,AZ,8208
2019/4/1,Sacramento,CA,6799
2019/4/1,Atlanta,GA,6113
2019/4/1,Las Vegas,NV,5686
2019/4/1,Austin,TX,5403
2019/4/1,Tampa,FL,4210
2019/4/1,Dallas,TX,4122
2019/4/1,Miami,FL,3967
2019/4/1,Boston,MA,3834
2019/4/1,San Diego,CA,3013
2019/4/1,Charlotte,NC,2924
2019/4/1,Raleigh,NC,2755
2019/4/1,Orlando,FL,2488
2019/4/1,Portland,OR,2390
2019/4/1,Nashville,TN,2302
2019/4/1,San Antonio,TX,1966
2019/4/1,Cape Coral,FL,1878
2019/4/1,North Port,FL,1571
2019/4/1,Bend,OR,1500
2019/4/1,Philadelphia,PA,1432
2019/4/1,Jacksonville,FL,1374
2019/4/1,Portland,ME,1333
2019/4/1,Boise City,ID,1132
2019/4/1,Reno,NV,1029
2019/4/1,Charleston,SC,975
2019/4/1,Tucson,AZ,961
2019/4/1,San Luis Obispo,CA,953
2019/4/1,Wenatchee,WA,724
2019/4/1,Bakersfield,CA,710
2019/4/1,Urban Honolulu,HI,648
2019/4/1,New Orleans,LA,637
2019/4/1,Albuquerque,NM,591
